name,code,category_id,unit_id,quantity,quantity_alert,buying_price,selling_price,notes
Dell Latitude 5420,LAPTOP-001,1,1,15,5,45000,55000,14-inch business laptop with Intel i5
HP Pavilion Gaming,LAPTOP-002,1,1,8,3,65000,78000,15.6-inch gaming laptop with GTX 1650
MacBook Air M1,LAPTOP-003,1,1,5,2,85000,99000,13-inch lightweight laptop
Logitech Mouse,HARD-001,2,1,50,10,800,1200,Wireless optical mouse
Kingston RAM 8GB,HARD-002,2,1,30,10,2500,3500,DDR4 8GB 2666MHz
Samsung SSD 256GB,HARD-003,2,1,25,8,3000,4200,NVMe M.2 SSD
iPhone 13 Pro,PHONE-001,3,1,12,4,95000,115000,128GB Apple smartphone
Samsung Galaxy S21,PHONE-002,3,1,10,3,75000,89000,256GB Android smartphone
OnePlus Nord,PHONE-003,3,1,20,5,28000,34000,128GB mid-range smartphone
JBL Flip 5,SPEAKER-001,4,1,15,5,8000,10500,Portable Bluetooth speaker
Sony SRS-XB33,SPEAKER-002,4,1,10,3,12000,15500,Extra bass wireless speaker
Bose SoundLink,SPEAKER-003,4,1,8,2,18000,23000,Premium Bluetooth speaker
Windows 11 Pro,SOFT-001,5,1,50,10,8500,12000,Operating system license
Microsoft Office 365,SOFT-002,5,1,100,20,3500,5500,1-year subscription
Adobe CC Suite,SOFT-003,5,1,25,5,18000,25000,Creative Cloud annual license
Mechanical Keyboard,HARD-004,2,1,20,5,3500,5200,RGB gaming keyboard
Webcam HD 1080p,HARD-005,2,1,15,5,2800,4200,USB webcam for video calls
USB-C Hub,HARD-006,2,1,40,10,1500,2400,7-in-1 multiport adapter
HDMI Cable 2m,HARD-007,2,2,100,20,300,600,High-speed HDMI 2.0
Phone Case Clear,PHONE-004,3,1,200,30,150,350,Transparent protective case
